Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
1.6125;34.17472;14.56682;99.72492641;0.8567111;-0.05225361;-0.3417847;99.95141;0.02445749
1.620833;34.29416;14.56638;99.72191415;0.8413387;-0.05483145;-0.3588063;100.0356;0.02459209
1.629167;34.40603;14.56596;99.71903882;0.8262719;-0.0573619;-0.3755317;100.0366;0.02478404
1.6375;34.51722;14.56552;99.71602656;0.810852;-0.05994192;-0.3925969;99.98599;0.02491937
1.645834;34.63098;14.56511;99.71321969;0.7952134;-0.06255115;-0.4098678;99.94894;0.02505494
1.654167;34.74634;14.56469;99.71034436;0.7797749;-0.06512979;-0.4269536;100.0692;0.02519131
1.6625;34.86259;14.56427;99.70746902;0.7644921;-0.06768347;-0.4438904;99.97184;0.02532725
1.670834;34.9874;14.56384;99.70452523;0.7489648;-0.07027144;-0.461069;100.0093;0.02546516
1.679166;35.10143;14.56342;99.70164989;0.7336991;-0.07281994;-0.4780039;100.0002;0.02560575
1.6875;35.2229;14.56297;99.69856918;0.7184845;-0.07535768;-0.4948838;100.0337;0.02575029
1.695834;35.33623;14.56254;99.69562539;0.7030289;-0.07792746;-0.5119898;99.97069;0.02589173
1.704166;35.45493;14.56212;99.69275005;0.687821;-0.08045852;-0.5288557;100.0126;0.02603108
1.7125;35.56922;14.56169;99.68980626;0.6726239;-0.08298731;-0.5457214;99.97516;0.02623093
1.720833;35.68665;14.56128;99.68699938;0.6574506;-0.08551019;-0.5625639;99.99081;0.0263735
1.729166;35.80166;14.56083;99.68391867;0.6423308;-0.08802468;-0.579367;100.0334;0.02651594
1.7375;35.92671;14.56037;99.68076949;0.6272355;-0.0905346;-0.596156;100.0331;0.02665978
1.745833;36.0399;14.55989;99.6774834;0.61208;-0.09305203;-0.6130093;99.98419;0.02680506
1.754167;36.15691;14.55941;99.6741973;0.5970956;-0.09554066;-0.629688;99.9658;0.0269509
1.7625;36.27004;14.55892;99.67084275;0.5819432;-0.09805018;-0.6465171;100.0125;0.02709506
1.770834;36.39107;14.55847;99.66776203;0.5669628;-0.1005325;-0.6631825;99.98356;0.0272391
1.779167;36.5074;14.558;99.6645444;0.5525251;-0.1029347;-0.679335;100.0062;0.02745765
1.7875;36.62964;14.55752;99.6612583;0.5376575;-0.105398;-0.6959063;100.0171;0.0276082
1.795834;36.73936;14.55702;99.65783528;0.522485;-0.1079016;-0.712757;99.97691;0.02775888
1.804166;36.85822;14.55651;99.65434381;0.5073642;-0.110396;-0.7295624;100.0347;0.0279096
1.8125;36.9755;14.55604;99.65112617;0.4923809;-0.1128681;-0.746235;99.94891;0.02806291
1.820834;37.09394;14.55558;99.647977;0.4772776;-0.1153558;-0.7630262;100.0322;0.0282153
1.829166;37.21314;14.55512;99.64482782;0.4620926;-0.117852;-0.7798868;99.98244;0.02837013
1.8375;37.33022;14.55466;99.64167865;0.4467278;-0.1203732;-0.79693;99.97755;0.02852072
1.845833;37.44386;14.55418;99.63839255;0.4315358;-0.1228673;-0.8138088;100.0449;0.02867215
1.854166;37.56331;14.55369;99.635038;0.4164711;-0.1253407;-0.830564;100.0082;0.02882697
1.8625;37.67881;14.55321;99.6317519;0.4012966;-0.1278273;-0.847421;99.94968;0.02905051
1.870833;37.79588;14.55272;99.62839734;0.3864846;-0.1302584;-0.8639231;99.99169;0.0292076
1.879167;37.90929;14.55225;99.62517971;0.3716309;-0.1326941;-0.8804718;100.0588;0.02936297
1.8875;38.02925;14.55175;99.62175669;0.3571021;-0.1350804;-0.8967056;99.95126;0.02951728
1.895834;38.15159;14.55125;99.61833368;0.3420594;-0.1375407;-0.9134496;100.0373;0.0296699
1.904167;38.26341;14.55074;99.6148422;0.3270284;-0.1399946;-0.930163;100.0012;0.0298225
1.9125;38.3819;14.55022;99.61128226;0.3121682;-0.1424228;-0.94672;100.0068;0.0299774
1.920834;38.49792;14.5497;99.60772232;0.2979111;-0.1447613;-0.9626949;99.97156;0.03013126
1.929166;38.62082;14.54918;99.60416239;0.2836023;-0.1471064;-0.9787278;100.0058;0.03028478
1.9375;38.7336;14.54868;99.60073937;0.2688639;-0.1495108;-0.995171;99.99851;0.03043902
1.945834;38.85112;14.54815;99.59711097;0.2538944;-0.1519462;-1.011835;99.94434;0.03059264
1.954166;38.96291;14.54762;99.59348258;0.239086;-0.1543558;-1.02834;100.0674;0.03074465
1.9625;39.08357;14.5471;99.58992264;0.2243246;-0.1567562;-1.044797;99.97175;0.03096772
1.970833;39.20133;14.54658;99.5863627;0.2094218;-0.1591767;-1.061406;99.97047;0.03112172
1.979166;39.31862;14.54604;99.58266585;0.194702;-0.1615662;-1.077818;100.0295;0.03127738
1.9875;39.43459;14.54551;99.57903745;0.1800639;-0.1639433;-1.094166;99.9993;0.03143009
1.995833;39.55302;14.54497;99.57534059;0.1654945;-0.1663079;-1.110442;100.0455;0.0315875
2.004166;39.6664;14.54445;99.57178065;0.1506478;-0.1687099;-1.126982;99.98119;0.0317443
2.0125;39.78174;14.54391;99.5680838;0.1355336;-0.1711469;-1.143767;99.99434;0.03190608
2.020833;39.90398;14.54334;99.56418156;0.1209791;-0.1735024;-1.160023;99.98129;0.03206682
2.029167;40.02156;14.54277;99.56027932;0.106941;-0.1757832;-1.175795;100.018;0.03222516
2.0375;40.13035;14.54221;99.55644554;0.0925641;-0.1781094;-1.191884;99.94326;0.03238284
