Time (min);Temperature (°C);Weight (mg);Weight (%);Heat Flow (mW);Temperature Difference (°C);Temperature Difference (µV);Sample Purge Flow (mL/min);Deriv. Weight (%/°C)
1.2375;34.73839;12.29919;99.69352355;0.6074442;-0.09050656;-0.5935136;99.90476;0.02856336
1.245833;34.83694;12.29892;99.69133501;0.6050974;-0.09109399;-0.5975715;100.0377;0.02827796
1.254167;34.91859;12.29865;99.68914647;0.6028954;-0.09166199;-0.6015057;99.98095;0.02800286
1.2625;35.01358;12.29836;99.68679582;0.6008103;-0.09221222;-0.6053252;100.0113;0.02782655
1.270834;35.10469;12.29807;99.68444516;0.5989403;-0.09273363;-0.6089607;100.0037;0.02763105
1.279167;35.19882;12.29779;99.68217557;0.5973101;-0.09321953;-0.6123657;100.0338;0.02737414
1.2875;35.28691;12.29751;99.67990597;0.5955132;-0.0937295;-0.6159312;99.98754;0.0272109
1.295834;35.37857;12.29724;99.67771744;0.593841;-0.09422168;-0.6193818;99.95074;0.02696669
1.304167;35.46654;12.29695;99.67536678;0.5919052;-0.09475316;-0.623094;100.0136;0.02681014
1.3125;35.56488;12.29662;99.6726919;0.589763;-0.09531544;-0.6270128;100.0091;0.02657753
1.320833;35.65884;12.29632;99.67026019;0.5876834;-0.09586909;-0.6308789;99.99022;0.02643172
1.329166;35.75608;12.296;99.66766637;0.5858354;-0.09638988;-0.6345328;100.0266;0.02626132
1.3375;35.84978;12.29571;99.66531572;0.5838008;-0.09693898;-0.6383766;100.0109;0.02611789
1.345833;35.94775;12.29542;99.66296506;0.5813918;-0.09754424;-0.6425953;99.96324;0.02591078
1.354166;36.03906;12.29516;99.66085758;0.5790706;-0.098136;-0.6467276;99.98202;0.0257803
1.3625;36.13508;12.29488;99.65858799;0.576975;-0.09869589;-0.650653;99.99276;0.02558346
1.370833;36.22966;12.2946;99.65631839;0.5748448;-0.0992608;-0.6546146;100.0706;0.02545967
1.379167;36.32754;12.2943;99.65388668;0.5723926;-0.09987431;-0.6589018;99.98863;0.02527775
1.3875;36.42038;12.29401;99.65153603;0.5697862;-0.1005105;-0.6633418;100.003;0.02516561
1.395834;36.52354;12.29372;99.64918538;0.567034;-0.1011684;-0.6679304;99.9597;0.02505629
1.404167;36.61268;12.29345;99.64699684;0.5643098;-0.1018217;-0.6724924;100.0105;0.02493056
1.4125;36.7083;12.29315;99.64456513;0.5615936;-0.1024729;-0.6770425;100.0105;0.02482748
1.420834;36.81378;12.29287;99.64229553;0.5588904;-0.1031231;-0.681591;100.0172;0.02467362
1.429167;36.92035;12.29258;99.63994488;0.556261;-0.103765;-0.6860906;99.94491;0.02457887
1.4375;37.01281;12.29227;99.63743211;0.5537172;-0.104395;-0.690515;100.0235;0.02448785
1.445833;37.11366;12.29198;99.63508146;0.5507422;-0.1050873;-0.6953548;100.0278;0.02434865
1.454166;37.21263;12.29169;99.63273081;0.547837;-0.1057712;-0.7001445;99.9621;0.0242629
1.4625;37.31666;12.29141;99.63046121;0.5448954;-0.1064607;-0.7049755;100.0208;0.02418178
1.470833;37.4087;12.29111;99.6280295;0.5423426;-0.1070946;-0.7094419;99.99728;0.02405804
1.479166;37.5172;12.29081;99.6255978;0.5399808;-0.1077013;-0.7137329;99.99822;0.0239854
1.4875;37.61914;12.29053;99.6233282;0.5377893;-0.1082858;-0.7178822;100.0269;0.02390847
1.495833;37.7214;12.29025;99.6210586;0.5354195;-0.1088974;-0.7222179;99.91828;0.02379707
1.504167;37.81681;12.28994;99.61854584;0.5327618;-0.1095494;-0.7268234;100.0631;0.02375265
1.5125;37.9198;12.28965;99.61619519;0.5300611;-0.1102053;-0.7314564;99.97176;0.02366408
1.520834;38.02428;12.28936;99.61384453;0.5274257;-0.1108528;-0.7360386;100.0176;0.02361723
1.529167;38.12663;12.28906;99.61141282;0.5249968;-0.111472;-0.7404376;99.99725;0.02351846
1.5375;38.22153;12.28878;99.60914323;0.5225066;-0.1120989;-0.7448905;99.98982;0.02345588
1.545834;38.33436;12.28852;99.60703575;0.5203388;-0.1126796;-0.7490399;100.0519;0.02339181
1.554167;38.44184;12.28821;99.60452298;0.5177278;-0.1133274;-0.7536425;99.9477;0.02330516
1.5625;38.54193;12.28792;99.60217233;0.5151215;-0.1139745;-0.7582442;99.97668;0.02325126
1.570833;38.64391;12.28763;99.59982167;0.512493;-0.1146227;-0.7628551;100.0228;0.02319739
1.579166;38.74584;12.28734;99.59747102;0.5100264;-0.1152473;-0.7673125;100.031;0.02314348
1.5875;38.85496;12.28706;99.59520143;0.5079593;-0.1158161;-0.7714038;100.0144;0.02309322
1.595833;38.96074;12.28675;99.59268866;0.5058436;-0.1163939;-0.7755615;99.96688;0.02301416
1.604166;39.06282;12.28644;99.59017589;0.5033334;-0.1170273;-0.7800925;100.0091;0.02296525
1.6125;39.17035;12.28616;99.5879063;0.5008803;-0.1176528;-0.7845756;100.0139;0.02291714
1.620833;39.26494;12.28584;99.58531247;0.4985826;-0.1182553;-0.7889062;99.97851;0.02287392
1.629167;39.3793;12.2855;99.58255654;0.4959301;-0.1189093;-0.7935856;100.0231;0.0228275
1.6375;39.48304;12.28522;99.58028694;0.4933162;-0.1195558;-0.7982172;100.0412;0.02276323
1.645834;39.59436;12.28494;99.57801735;0.4907238;-0.1202003;-0.8028418;99.91538;0.0227239
1.654167;39.69438;12.28462;99.57542352;0.4880602;-0.1208561;-0.8075464;100.0631;0.0226861
1.6625;39.8042;12.28432;99.57299181;0.4853074;-0.1215248;-0.8123418;99.93961;0.02264816
